# Average of 1 scan from 20260521_RuO2_Ref_dir
# energy_eV	mu
22420.7245	0.1351257314
22421.675	0.1355366284
22422.6255	0.1359475255
22423.576	0.1363584226
22424.5265	0.1367693197
22425.477	0.1371802168
22426.4275	0.1375911139
22427.378	0.138002011
22428.3285	0.1384129081
22429.279	0.1388238052
22430.2295	0.1387751246
22431.18	0.1383910652
22432.1305	0.1380070057
22433.081	0.1376229463
22434.0315	0.1372388868
22434.982	0.1368548274
22435.9325	0.136470768
22436.883	0.1360867085
22437.8335	0.1357026491
22438.784	0.1353185896
22439.7345	0.1349658506
22440.685	0.1349709414
22441.6355	0.1349760323
22442.586	0.1349811231
22443.5365	0.1349862139
22444.487	0.1349913048
22445.4375	0.1349963956
22446.388	0.1350014865
22447.3385	0.1350065773
22448.289	0.1350116682
22449.2395	0.135016759
22450.19	0.1349035951
22451.1405	0.1346715527
22452.091	0.1344395103
22453.0415	0.1342074679
22453.992	0.1339754255
22454.9425	0.1337433831
22455.893	0.1335113407
22456.8435	0.1332792983
22457.794	0.1330472559
22458.7445	0.1328152135
22459.695	0.132583171
22460.6455	0.132651776
22461.596	0.1327261844
22462.5465	0.1328005927
22463.497	0.1328750011
22464.4475	0.1329494094
22465.398	0.1330238178
22466.3485	0.1330982261
22467.299	0.1331726345
22468.2495	0.1332470428
22469.2	0.1333214512
22470.1505	0.1331199903
22471.101	0.1327355819
22472.0515	0.1323511736
22473.002	0.1319667652
22473.9525	0.1315823569
22474.903	0.1311979486
22475.8535	0.1308135402
22476.804	0.1304291319
22477.7545	0.1300447235
22478.705	0.1296603152
22479.6555	0.1292759068
22480.606	0.129697129
22481.5565	0.1301247587
22482.507	0.1305523884
22483.4575	0.1309800181
22484.408	0.1314076477
22485.3585	0.1318352774
22486.309	0.1322629071
22487.2595	0.1326905368
22488.21	0.1331181664
22489.1605	0.1335457961
22490.111	0.1337831328
22491.0615	0.1338900649
22492.012	0.1339969969
22492.9625	0.134103929
22493.913	0.134210861
22494.8635	0.134317793
22495.814	0.1344247251
22496.7645	0.1345316571
22497.715	0.1346385892
22498.6655	0.1347455212
22499.616	0.1348341316
22500.5665	0.13445732
22501.517	0.1340805085
22502.4675	0.1337036969
22503.418	0.1333268854
22504.3685	0.1329500738
22505.319	0.1325732623
22506.2695	0.1321964507
22507.22	0.1318196392
22508.1705	0.1314428276
22509.121	0.1310660161
22510.0715	0.1307645481
22511.022	0.130547056
22511.9725	0.1303295638
22512.923	0.1301120716
22513.8735	0.1298945795
22514.824	0.1296770873
22515.7745	0.1294595952
22516.725	0.129242103
22517.6755	0.1290246108
22518.626	0.1288071187
22519.5765	0.1285896265
22520.527	0.1283591228
22521.4775	0.1281271487
22522.428	0.1278951747
22523.3785	0.1276632006
22524.329	0.1274312266
22525.2795	0.1271992525
22526.23	0.1269672785
22527.1805	0.1267353044
22528.131	0.1265033304
22529.0815	0.1262713563
22530.032	0.1261906263
22530.9825	0.1264394465
22531.933	0.1266882667
22532.8835	0.1269370869
22533.834	0.1271859071
22534.7845	0.1274347273
22535.735	0.1276835475
22536.6855	0.1279323677
22537.636	0.1281811879
22538.5865	0.1284300081
22539.537	0.1286788283
22540.4875	0.1287974148
22541.438	0.1288826037
22542.3885	0.1289677925
22543.339	0.1290529814
22544.2895	0.1291381702
22545.24	0.1292233591
22546.1905	0.1293085479
22547.141	0.1293937368
22548.0915	0.1294789256
22549.042	0.1295641145
22549.9925	0.1296220512
22550.943	0.1296050578
22551.8935	0.1295880644
22552.844	0.129571071
22553.7945	0.1295540776
22554.745	0.1295370842
22555.6955	0.1295200908
22556.646	0.1295030974
22557.5965	0.129486104
22558.547	0.1294691106
22559.4975	0.1294521172
22560.448	0.1294172625
22561.3985	0.1293798883
22562.349	0.129342514
22563.2995	0.1293051398
22564.25	0.1292677656
22565.2005	0.1292303914
22566.151	0.1291930172
22567.1015	0.129155643
22568.052	0.1291182687
22569.0025	0.1290808945
22569.953	0.1291194112
22570.9035	0.1292409231
22571.854	0.129362435
22572.8045	0.129483947
22573.755	0.1296054589
22574.7055	0.1297269708
22575.656	0.1298484827
22576.6065	0.1299699947
22577.557	0.1300915066
22578.5075	0.1302130185
22579.458	0.1303078601
22580.4085	0.1300452795
22581.359	0.1297826989
22582.3095	0.1295201182
22583.26	0.1292575376
22584.2105	0.128994957
22585.161	0.1287323763
22586.1115	0.1284697957
22587.062	0.128207215
22588.0125	0.1279446344
22588.963	0.1276820538
22589.9135	0.1276222295
22590.864	0.1276391557
22591.8145	0.1276560819
22592.765	0.1276730081
22593.7155	0.1276899343
22594.666	0.1277068605
22595.6165	0.1277237867
22596.567	0.1277407129
22597.5175	0.1277576391
22598.468	0.1277745653
